representation,var_explained,mean_sil,std_sil,mean_ari,std_ari
Original 7D,1.0,0.453,0.0022,1.0,0.0
PCA-2,0.773,0.593,0.0016,0.9916,0.0019
PCA-3,0.883,0.504,0.0023,0.9877,0.0036
PCA-4,0.972,0.472,0.0027,0.9882,0.0008
